Correct Response,Rotation (deg),Reaction Time (ms),Word
1,150,410.82010004576296,0
1,-120,1105.991300017573,2
1,30,635.8811000213027,1
1,180,502.97540001012385,2
1,0,537.2112000444904,2
1,150,509.02599998191,0
1,120,665.5100999018177,2
1,-30,488.3077999660745,0
0,30,543.2615000139922,1
0,30,550.1690999921411,2
1,30,611.6632000161335,0
0,-120,715.7489999048412,1
1,-120,568.6513999793679,1
1,150,418.5715000461787,2
0,-60,639.0992999626324,2
1,-60,555.6754000103101,0
1,60,621.1001999294385,2
1,120,697.139099993743,2
1,60,610.9646999360994,1
1,30,589.4342000214383,1
1,-150,394.772999974899,2
0,0,487.5640000067651,2
1,0,579.956999918446,1
1,90,703.8261000383645,2
0,30,689.3310000272468,2
0,30,735.1074999282137,2
1,30,400.2874000547454,2
1,120,646.4594000102952,2
1,-90,660.596099969931,2
1,-60,628.6547999447212,1
1,-90,737.810600021854,0
1,150,710.2505000624806,0
0,-30,653.7643999876454,1
0,-30,595.9792000325397,2
1,-30,450.3511000042781,0
1,180,470.24410002306104,2
1,-150,559.0911000585184,0
0,180,473.5124999973923,1
0,180,659.376599997282,1
1,180,570.4825000688434,2
1,-60,548.5125000672415,0
0,90,807.1801999434829,2
1,90,724.6656999308616,1
1,150,537.2069000117481,0
1,-60,744.0418999725953,4
0,60,655.6292999852449,3
1,60,900.488399955444,5
1,0,605.4175000721589,3
0,-90,674.3153998944908,3
0,-90,551.1617000997066,3
1,-90,735.7603000095114,5
0,120,683.686800006777,4
0,120,692.1778000509366,3
0,120,-109.0,4
0,120,859.0562999565154,5
1,120,644.6844999995083,5
0,-30,-109.0,3
1,-30,487.8365999870002,3
0,60,513.6592999882996,4
1,60,491.9260000428185,3
1,-150,414.26990000437945,4
1,0,499.42359997332096,4
1,120,759.0394999682903,3
0,-150,1159.6623999616131,5
1,-150,864.1102999066934,5
1,0,725.7765000071377,5
1,180,696.2315999520943,5
1,-30,563.2640000516549,5
1,90,532.5687999688089,3
0,90,642.7914000200108,4
0,90,667.2439000653103,3
1,90,742.8677999963984,3
1,-60,789.5789000289515,3
0,30,-109.0,5
1,30,498.0905999513343,3
0,150,522.7203000653535,3
1,150,585.9640000239015,5
0,60,573.0950999390334,4
0,60,561.153999933973,3
1,60,670.4420999707654,3
0,-90,793.4640000425279,5
1,-90,560.6792999282479,3
1,90,853.1762000024319,3
1,30,1037.9701000023633,5
1,-90,509.1345999939367,3
1,60,654.1479999981821,5
1,-60,480.1920999856666,3
0,180,-109.0,5
1,180,333.11020006332546,4
1,-120,481.77840007375926,3
1,-150,563.1450999611989,5
1,-30,643.0054000196978,5
1,90,625.0365999843925,4
1,-90,723.2508999845013,5
1,120,418.8241999913007,8
1,60,953.7395999617875,8
0,90,685.1289000445977,7
0,90,768.0712999394163,6
1,90,789.5543999588117,6
0,-120,405.25760006532073,6
1,-120,533.5947999814525,6
1,180,479.3418000303209,8
1,-120,443.8655999805778,8
0,90,532.1794000305235,7
1,90,506.4589999932796,6
0,-150,664.3975000446662,6
0,-150,615.4689000071958,7
1,-150,393.9271000530571,6
1,-120,504.361099967733,6
1,150,509.0227000731975,6
1,-120,595.5726999640465,7
1,-120,480.2364999745041,8
1,120,720.1787999914959,7
1,180,551.31499998644,6
1,180,547.2518000137061,6
1,-30,976.959600051865,7
1,0,643.1569000091404,6
0,60,601.3951000608504,7
0,60,502.9895000010729,8
1,60,573.8265000367537,6
1,0,491.25390004739165,8
0,120,585.5638000033796,7
1,120,590.0774000296369,7
0,-30,616.0442000804469,7
1,-30,544.4555000253022,6
1,0,703.9294000100344,7
1,150,481.46310000121593,6
1,-60,471.0162999657914,6
1,30,405.31969995610416,6
1,-30,534.5036000330001,7
1,-90,661.1038999948651,7
1,-90,643.9428000561893,7
1,-60,518.8023000340909,8
1,-150,591.5837999749929,7
1,-150,569.8264999631792,6
1,30,490.8965000035241,8
