CorrectResponse,Height_Rotation,RT,Face
1,180,555.799199905246,1
1,30,510.494300102815,0
1,-180,591.660100206733,2
1,120,510.689299957827,1
0,90,696.835600011051,2
1,90,492.594100007787,1
1,-90,626.345399938524,1
1,150,497.146300211549,1
1,150,456.031799953431,1
1,150,477.731800111011,1
1,120,654.467699987814,2
0,-180,485.494099961594,0
1,-180,654.411700027063,2
1,0,529.704199809581,0
1,-120,606.353899868205,2
1,-30,540.965699994937,0
1,-120,487.121300011873,1
1,180,507.904800059274,0
1,0,472.869999878109,0
1,0,425.820399945602,1
1,120,582.741299815476,2
1,180,513.588500147685,2
1,0,624.687999891117,2
1,0,430.619199931622,1
1,30,486.898899948224,1
1,30,474.008700050414,1
1,-60,572.744000175968,2
0,-150,557.231899987906,3
1,-150,714.804900050163,3
1,-150,565.448599806055,4
1,0,601.889300098643,4
1,-90,508.864000145346,4
1,-30,475.155899938196,4
1,-150,502.392700113356,4
1,180,635.231299962848,5
1,-30,761.118499966338,5
1,-120,503.120399950072,4
1,150,474.883099956438,4
1,180,484.970499932766,4
1,-180,475.082199959084,4
1,0,494.417299920693,4
1,0,552.046400200576,5
0,60,508.099100025371,3
1,60,652.177900014445,5
1,120,581.370799973607,5
1,120,508.158200126141,4
0,-150,560.482299825177,3
1,-150,532.187299974263,4
0,30,558.451200075448,5
1,30,595.43890010938,3
1,0,499.463899930939,8
1,-150,661.260300021619,6
1,60,468.627199934795,7
1,-60,500.181500039995,6
1,60,561.099399983883,8
1,30,560.081500032917,6
1,-90,531.40429983288,7
1,90,805.083300158381,8
1,-120,429.806400028989,7
1,60,661.024899858981,6
1,0,502.449099844322,6
1,90,527.402799980715,6
1,-180,525.851099923253,6
1,-120,609.358299927786,8
1,90,547.246500089765,6
1,-180,626.111899906769,6
1,-60,535.995899870992,7
1,-60,579.589499797672,8
1,-60,515.876700108871,8
1,-90,485.873999943957,7
1,-30,462.236500050873,7
1,150,543.076600119472,7
1,-90,658.771800048649,8
1,-30,529.315099989995,8
1,90,494.27750002034,7
1,60,651.982099920511,6
