CorrectResponse,Size_Rotation_deg_deg_,ReactionTime_ms_,Target
1,16,443.136000000246,2
1,16,505.24740000075,2
1,4,424.9641999999,2
1,8,715.928299998646,1
1,8,460.713599999886,0
1,4,618.457399998457,2
1,4,532.216600000917,2
1,8,595.560700000002,0
1,16,664.610299998836,2
1,4,539.62230000108,2
1,16,821.130099999587,3
1,4,546.606199999966,3
1,8,563.171700000035,4
1,4,522.487399999969,3
1,4,548.275700001264,3
1,4,633.073000001255,4
1,4,401.299800000212,4
1,8,622.900900000255,3
1,16,510.466999998622,5
1,16,416.096199999098,5
1,8,463.531699999672,5
1,8,441.523699999758,3
1,4,543.865899999597,5
1,16,443.219100000002,5
1,8,554.519199999428,6
0,8,499.390800000052,7
1,8,507.567600000053,8
1,8,835.944999999279,6
1,4,480.954799999759,7
1,16,441.329200001215,7
1,16,590.549400000251,8
1,16,486.051700000113,7
1,8,473.957399999941,8
1,16,578.030299999606,8
