Correct Response,Size/Rotation (deg/deg),Reaction Time (ms),Target
1,"(8, 180)",919.84990000166,0
1,"(16, 0)",623.3928999248892,1
1,"(8, 150)",727.4445001352578,2
1,"(16, 150)",965.2924998048693,1
1,"(8, -90)",824.772899908945,0
1,"(8, 60)",845.0209998376667,2
1,"(8, 0)",512.9478000421077,1
1,"(8, 30)",535.057200057432,1
1,"(4, 0)",770.7441001515836,0
1,"(16, -30)",477.2916000187397,1
1,"(8, -60)",515.591400148347,1
0,"(4, 90)",761.6872998736799,0
1,"(4, 90)",579.2194001227617,1
1,"(8, 90)",524.2249999977648,1
1,"(16, -90)",868.5275997817516,2
1,"(4, 0)",524.4396000020206,1
1,"(8, -180)",559.1234000716358,1
1,"(16, -180)",770.8489000182599,2
1,"(4, 90)",559.4469999745488,0
1,"(16, 30)",766.5341998767108,2
1,"(16, 150)",538.5366000086069,1
0,"(4, -30)",524.8701001368463,2
1,"(4, -30)",593.4918000679463,2
1,"(4, 120)",660.8497998062521,2
1,"(4, 30)",1005.7121000103652,0
1,"(16, -30)",1080.5572999492288,0
0,"(16, -150)",809.7892000190914,0
1,"(16, -150)",608.5044999457896,0
0,"(8, -120)",687.8293000012636,2
1,"(8, -120)",971.9480000752956,0
1,"(16, 30)",541.6044999696314,1
1,"(16, 150)",750.9176001735032,1
1,"(16, -120)",941.6132999435067,2
1,"(8, -120)",817.1304000392556,2
1,"(4, 0)",645.3742000125349,0
1,"(8, 0)",486.63910006545484,1
1,"(8, -180)",765.7960000764579,2
1,"(8, -60)",757.4483001921326,0
1,"(8, 120)",846.5491001810879,0
1,"(8, 150)",566.3555000759661,0
0,"(8, 0)",509.5963999014348,0
1,"(8, 0)",537.1116001009941,1
1,"(8, 30)",516.8509999606758,0
0,"(8, -150)",543.1660999860615,1
1,"(8, -150)",856.903100091964,0
1,"(4, -30)",722.8734001368284,1
1,"(16, 90)",864.0396000668406,1
1,"(4, 120)",702.4700999576598,2
0,"(16, 180)",632.1091001704335,2
1,"(16, 180)",517.6894000582397,1
0,"(16, 120)",716.2802998758852,0
1,"(16, 120)",589.4258000738919,1
1,"(4, 0)",774.6014000698924,0
1,"(8, 90)",561.448699966073,1
1,"(4, -180)",524.5483000148088,1
1,"(16, 180)",519.3571999520063,1
1,"(4, 60)",588.0660998485982,1
1,"(4, -150)",795.2025001253933,2
1,"(4, -150)",677.7457000538707,2
1,"(16, 90)",766.0791000202298,0
1,"(4, -90)",880.45780005306,0
1,"(4, 30)",633.5297000445426,0
0,"(4, -60)",838.0823998562992,0
1,"(4, -60)",668.6667000725865,2
0,"(4, 180)",730.3657000269741,2
1,"(4, 180)",749.104299986735,2
1,"(8, -90)",571.0712000112981,0
1,"(16, 60)",828.8563000354916,0
1,"(8, 60)",756.5310000758618,0
1,"(4, 180)",821.4857000242919,0
1,"(8, -150)",825.3427000567317,1
1,"(8, 120)",479.60920020379126,1
1,"(16, 120)",859.6179000418633,2
0,"(4, -120)",642.8729001749307,2
1,"(4, -120)",591.63819992356,1
1,"(16, -120)",690.6939001604915,2
1,"(16, -180)",927.639700178057,0
1,"(8, -30)",623.6511999126524,0
1,"(8, 180)",514.3888999558985,1
1,"(16, 0)",655.3939000554383,0
1,"(8, -60)",725.4575001392514,2
1,"(16, -60)",532.0991998855025,2
0,"(4, -120)",660.6185999084264,0
1,"(4, -120)",879.2672999519855,1
1,"(8, 90)",755.8743000812829,0
1,"(16, 0)",683.3457000870258,0
1,"(16, 60)",659.2127999141812,2
1,"(16, -90)",777.7394998669624,5
1,"(16, 0)",518.6024000253528,5
1,"(4, 60)",595.7363000456244,5
1,"(4, -60)",644.6840999964625,4
1,"(16, 90)",686.4804999753833,5
1,"(4, 150)",763.7950002066791,3
1,"(4, -90)",551.6263997964561,4
1,"(4, 0)",508.480400018394,3
1,"(4, 0)",499.043699990958,3
1,"(8, -30)",631.7982998993248,4
1,"(4, -30)",586.5603000242263,5
1,"(8, 0)",490.7029999271035,3
1,"(4, 150)",559.4119000565261,3
1,"(16, -30)",704.2941001094878,4
1,"(16, -150)",820.2721000965685,5
1,"(4, -60)",556.9323999192566,5
1,"(16, -90)",576.8181001152843,5
1,"(16, -60)",663.0484999008477,3
1,"(8, -30)",734.4374001808465,4
0,"(8, 150)",749.6014001630247,5
1,"(8, 150)",826.2289999369532,5
1,"(4, -180)",560.3553000222892,5
1,"(4, 90)",606.3011998161674,5
1,"(4, -30)",810.357200153172,4
0,"(16, -150)",829.4906999766827,4
1,"(16, -150)",649.9840998407453,5
1,"(8, -120)",582.3654999807477,4
1,"(8, 0)",587.2037000339478,4
1,"(8, -150)",570.3114000465721,5
1,"(16, 180)",571.0946998409927,5
1,"(16, 120)",572.0721000656486,3
1,"(4, -60)",524.9366999454796,3
0,"(4, 180)",463.7841998450458,5
1,"(4, 180)",471.47599997371435,5
1,"(4, -120)",850.480500081554,4
1,"(4, -120)",700.639299986884,5
1,"(8, 150)",878.9865001421422,5
1,"(16, -150)",680.1483001876622,4
1,"(4, 180)",567.6363999340683,4
