Correct Response,Rotation (deg),Reaction Time (ms)-Delay,Target
1,-150,356.618859,1
1,-150,570.576446,1
1,-150,397.560316,1
1,-150,535.875404,0
1,-150,603.207929,2
1,-150,460.162012,0
1,-150,425.599602,2
1,-150,471.249022,0
1,-150,811.310148,1
1,-150,703.372252,1
1,-150,464.373454,1
1,-150,518.324513,0
1,-120,468.182822,0
1,-120,447.351634,0
1,-120,383.523844,2
1,-120,615.947705,2
1,-120,453.729058,2
1,-120,801.184733,1
1,-120,434.943862,2
1,-120,546.678673,1
1,-120,413.60506,1
1,-120,488.419855,2
1,-120,523.331809,1
1,-120,357.552404,2
1,-90,514.929775,2
1,-90,318.805763,0
1,-90,414.452124,1
1,-90,466.405196,2
1,-90,520.261715,1
1,-90,444.401718,1
1,-90,372.167334,0
1,-90,319.111428,1
1,-90,412.689922,1
0,-90,392.629201,2
1,-90,471.410157,2
1,-90,408.25322,0
1,-90,441.996369,0
1,-60,329.935883,1
0,-60,421.292798,2
1,-60,480.736611,0
1,-60,613.94288,1
1,-60,352.861327,1
1,-60,341.729074,1
1,-60,566.790864,2
1,-60,425.391148,0
1,-60,505.779546,0
1,-60,441.46394,0
1,-60,375.234883,2
1,-60,423.155969,0
1,-60,405.310467,2
1,-30,484.230088,1
1,-30,428.093384,2
1,-30,398.871988,0
1,-30,455.839789,1
1,-30,445.111841,0
1,-30,545.548767,0
1,-30,405.157648,0
1,-30,287.826943,2
1,-30,431.612949,2
1,-30,472.392587,2
1,-30,475.488811,1
1,-30,509.639213,2
1,0,456.50345,1
1,0,442.583441,0
1,0,364.347674,1
0,0,603.8125,2
1,0,374.205114,1
1,0,386.945652,1
1,0,482.309067,0
1,0,388.533654,1
1,0,659.851575,2
1,0,524.574952,2
1,0,665.498155,1
1,0,485.652685,2
1,0,635.694664,2
1,0,489.822702,2
1,0,411.269687,2
1,0,401.129877,2
1,0,522.478299,0
1,0,499.36128,2
1,0,396.163498,1
1,30,412.029419,1
1,30,383.42772,1
1,30,606.775709,2
1,30,360.396314,1
1,30,466.191355,0
1,30,576.470752,1
1,30,439.258869,0
1,30,486.206046,2
1,30,380.525739,1
1,30,400.755702,1
1,30,484.133924,0
1,30,483.097242,1
1,60,483.036377,2
0,60,423.237549,2
1,60,323.824996,1
1,60,547.861458,2
1,60,502.364789,0
1,60,590.614288,0
1,60,578.999527,2
1,60,432.236559,0
1,60,418.710519,2
1,60,548.620687,0
1,60,466.225051,2
1,60,505.049885,0
0,60,493.71663,1
1,60,529.28715,1
1,90,581.734579,1
1,90,460.988539,0
1,90,425.662894,2
1,90,412.036188,1
1,90,433.007604,0
1,90,526.624522,2
1,90,401.315791,0
1,90,381.23542,1
1,90,571.399759,1
0,90,368.651422,2
1,90,293.912428,2
0,90,448.642529,2
1,90,324.395973,1
1,90,394.301791,2
1,120,460.893178,0
1,120,414.614883,1
1,120,500.589971,0
1,120,475.898977,1
1,120,429.105232,2
1,120,359.865997,1
1,120,530.156033,2
1,120,570.106042,2
1,120,281.735843,2
1,120,470.467008,2
1,120,667.777261,2
1,120,531.20584,1
1,150,428.628872,0
1,150,392.305883,1
1,150,395.853311,0
1,150,531.761815,2
1,150,448.041969,0
1,150,562.390809,2
1,150,459.858563,0
1,150,378.403097,2
1,150,335.423428,2
1,150,479.675027,2
1,150,304.888702,2
1,150,515.013443,0
1,180,474.268051,1
1,180,457.324883,0
1,180,432.050582,2
1,180,378.979643,2
0,180,646.806647,1
1,180,464.823447,0
1,180,567.160267,1
1,180,395.064956,1
1,180,474.828501,0
1,180,510.770587,0
1,180,520.253741,1
1,180,300.380652,1
1,180,509.02983,2
1,-180,457.32,0
1,-180,432.05,2
1,-180,378.98,2
0,-180,646.81,1
1,-180,464.82,0
1,-180,567.16,1
1,-180,395.06,1
1,-180,474.83,0
1,-180,510.77,0
1,-180,520.25,1
1,-180,300.38,1
1,-180,509.03,2
